city,date,Multi-source,DomesticAviation,GroundTransportation,day
齐齐哈尔市,20200225,610201.281906837,454.7609690343348,46383.65960401993,56
齐齐哈尔市,20200226,629839.8118966307,521.5188156040027,47280.57171539556,57
齐齐哈尔市,20200227,633883.0170702483,515.5199211295288,47309.46118721384,58
齐齐哈尔市,20200228,655130.7556637389,597.2212824423264,52239.69276634729,59
齐齐哈尔市,20200229,638702.6485653962,597.1407002777439,36856.29632928583,60
鞍山市,20200201,1187512.5838933643,3260.75225171179,21597.46331586131,32
鞍山市,20200202,1195081.7190626725,3233.46480529925,22983.62566075696,33
鞍山市,20200203,1177907.9641127784,2336.5705544722423,25407.568793556795,34
鞍山市,20200204,1188551.881648569,1913.595616160572,23178.67204456725,35
鞍山市,20200205,1214848.9320060192,1993.6231771701632,30264.02122307444,36
鞍山市,20200206,1250851.2365959529,1869.7561278611709,31969.23317160369,37
鞍山市,20200207,1232683.4391213227,2091.2568016018645,27668.441548727344,38
鞍山市,20200208,1168136.8125997405,2268.996062712435,27324.01264081052,39
鞍山市,20200209,1106153.9324874976,2982.412490736966,24228.63546254056,40
鞍山市,20200210,1134240.2008904635,1860.113782705381,28407.4365132197,41
鞍山市,20200211,1114875.1358141578,1366.2851745242426,27336.367691624622,42
鞍山市,20200212,1098369.167090536,1292.9721210725286,26833.723744233703,43
鞍山市,20200213,1074423.3949934978,1095.8310561464616,28274.224947984658,44
鞍山市,20200214,1121165.331595215,1275.287981981141,36493.03215618785,45
鞍山市,20200215,1130405.0356371328,1367.495347398046,31767.722457418786,46
鞍山市,20200216,1144920.0444479678,1616.2444297166398,26151.364812620683,47
鞍山市,20200217,1175064.6851451583,1223.6799645886142,35016.44995466007,48
鞍山市,20200218,1178684.2116181322,1186.1646055007027,31439.995307996243,49
鞍山市,20200219,1216234.265871605,1425.778834513812,29988.161166394988,50
鞍山市,20200220,1165600.9947141546,1371.6723957044003,30929.323797061574,51
鞍山市,20200221,1161633.0223876624,1692.2901315930717,33933.11130077517,52
鞍山市,20200222,1152707.2130836656,1654.6576590012442,26515.01144940511,53
鞍山市,20200223,1096568.3742429905,2092.154671798557,23829.914553893457,54
鞍山市,20200224,1181213.231321873,1931.123603913404,42415.28663979311,55
鞍山市,20200225,1219015.8360676805,1982.7706591405697,38263.68321919813,56
鞍山市,20200226,1250803.3628800164,2273.8367542076503,39003.58087277106,57
鞍山市,20200227,1249541.999032955,2247.6814049996374,39027.41292068323,58
鞍山市,20200228,1296146.1615766117,2603.901646078917,43094.55253303282,59
鞍山市,20200229,1285460.5366175454,2603.550305567168,30404.19103227605,60
宜春市,20200201,727009.6221222539,4766.939293020071,31015.77756849797,32
宜春市,20200202,735157.1878383987,4727.047393707013,33006.423522346486,33
宜春市,20200203,730097.3056541316,3415.86515233722,36487.41015240109,34
宜春市,20200204,733666.7081275362,2797.512178006786,33286.526568122106,35
宜春市,20200205,755779.804995753,2914.5055880093137,43461.685145857824,36
宜春市,20200206,776997.0466125722,2733.4226173078405,45910.51322021258,37
宜春市,20200207,759841.6136451159,3057.237548212398,39734.21397651261,38
宜春市,20200208,724623.1499625746,3317.077058330208,39239.58503607294,39
宜春市,20200209,684206.5775433979,4360.0305060356695,34794.36252786669,40
宜春市,20200210,693804.5886140136,2719.326338151438,40795.47302845424,41
宜春市,20200211,677484.633347072,1997.3913935016933,39257.32793033295,42
宜春市,20200212,663959.1838728401,1890.2140159481576,38535.48885875184,43
宜春市,20200213,649740.3098558078,1602.010737649248,40604.16999362758,44
宜春市,20200214,695346.9854995275,1864.3613258354044,52407.0698305167,45
宜春市,20200215,716528.2541552513,1999.160562140756,45621.12685120146,46
宜春市,20200216,721407.06737296,2362.810322402272,37555.563923343136,47
宜春市,20200217,737412.0595987125,1788.9148438727989,50286.57334190571,48
宜春市,20200218,727014.6684613281,1734.0706160618574,45150.48304359362,49
宜春市,20200219,741026.9942998791,2084.366006596256,43065.52685481818,50
宜春市,20200220,710709.9924014298,2005.2670474433264,44417.11571419591,51
宜春市,20200221,710672.5303976949,2473.982596882722,48730.80773050756,52
宜春市,20200222,699091.2997864926,2418.967159203485,38077.79114211816,53
宜春市,20200223,657795.5711592608,3058.55015720267,34221.76569861657,54
宜春市,20200224,715382.3362959155,2823.136588295145,60911.926400067736,55
宜春市,20200225,734453.2781556514,2898.640140213849,54949.87398851332,56
宜春市,20200226,757455.0676134097,3324.153732886458,56012.429378053785,57
宜春市,20200227,761235.4396824845,3285.9168623002656,56046.65420743469,58
宜春市,20200228,787998.6666841041,3806.680211701762,61887.40947168927,59
宜春市,20200229,768991.7086904771,3806.166582096872,43662.98080546537,60
青岛市,20200201,732789.6987582822,8335.752765029603,50274.0149088178,32
青岛市,20200202,745272.4143846829,8265.995423985214,53500.687660804666,33
青岛市,20200203,746645.4332929363,5973.184393234387,59143.07961278034,34
青岛市,20200204,746839.3551364691,4891.895709091396,53954.71157389951,35
青岛市,20200205,775641.3359624621,5096.477324457628,70447.80361090963,36
青岛市,20200206,795780.7732873014,4779.824902234675,74417.15175468421,37
青岛市,20200207,771509.5336916522,5346.0668952044325,64405.88056945144,38
青岛市,20200208,741440.5476563018,5800.437673137339,63604.12789144496,39
青岛市,20200209,697887.2230112375,7624.207927194853,56398.78918416856,40
青岛市,20200210,697131.8743941995,4755.175312480792,66126.09387964816,41
青岛市,20200211,675068.3541983067,3492.7570518062344,63632.88765826311,42
青岛市,20200212,657115.9901561309,3305.3403329487774,62462.84611517134,43
青岛市,20200213,643059.8841004218,2801.3709877783017,65816.00745335313,44
青岛市,20200214,709500.400177881,3260.132785748337,84947.53369210615,45
青岛市,20200215,751621.0856390242,3495.850725014211,73948.080341016,46
青岛市,20200216,752435.3569729776,4131.750263118423,60874.46869327828,47
青岛市,20200217,763888.3082470475,3128.2025928146004,81510.38394317315,48
青岛市,20200218,737842.9666536673,3032.298723367308,73185.2055832201,49
青岛市,20200219,740818.655818663,3644.846018546789,69805.66372626563,50
青岛市,20200220,710864.3290613802,3506.528887377229,71996.47768593121,51
青岛市,20200221,713384.5291402801,4326.152695671311,78988.61632444039,52
青岛市,20200222,695186.9843065707,4229.949438494215,61720.95590207077,53
青岛市,20200223,645012.4340684752,5348.362201132932,55470.65699509518,54
青岛市,20200224,707313.7110029038,4936.704072652097,98733.20406682671,55
青岛市,20200225,722107.8209728685,5068.734061495768,89069.20930920134,56
青岛市,20200226,749784.6859149227,5812.812365969248,90791.52387562572,57
青岛市,20200227,759437.1925657551,5745.949106312966,90846.99949859688,58
青岛市,20200228,783574.117403283,6656.58678446754,100314.38159422208,59
青岛市,20200229,750698.393429256,6655.688621278126,70774.0872570262,60
铜仁市,20200201,277512.90987157484,2539.514799254385,10073.92423017807,32
铜仁市,20200202,280973.4333611769,2518.262993336862,10720.486015188695,33
铜仁市,20200203,279341.2764588481,1819.7504883939744,11851.110436259149,34
铜仁市,20200204,280681.0604528552,1490.3322950944676,10811.463481529943,35
铜仁市,20200205,288656.19321288704,1552.658764523539,14116.354881262796,36
铜仁市,20200206,296334.19420497085,1456.189551109664,14911.734214226506,37
铜仁市,20200207,289644.8173146135,1628.6970572270063,12905.672284406162,38
铜仁市,20200208,276856.8158117093,1767.1226256711832,12745.016809719516,39
铜仁市,20200209,261493.18107825483,2322.740298264492,11301.208585500275,40
铜仁市,20200210,262766.6838501702,1448.679971622356,13250.369213388178,41
铜仁市,20200211,255839.02179824896,1064.0800505112563,12750.779701589778,42
铜仁市,20200212,250095.10237786,1006.9829238830628,12516.326378682406,43
铜仁市,20200213,244310.9337787833,853.4469869968135,13188.233989675318,44
铜仁市,20200214,263137.2533400725,993.2102942970292,17021.815733373653,45
铜仁市,20200215,275303.3701326612,1065.022548341647,14817.741524595363,46
铜仁市,20200216,277832.4526354348,1258.7514572206928,12198.046769900462,47
铜仁市,20200217,281436.962691815,953.0173223042326,16333.078496028927,48
铜仁市,20200218,275959.3838874388,923.7998895621164,14664.876420801886,49
铜仁市,20200219,280139.74653483724,1110.4144599795025,13987.6826724724,50
铜仁市,20200220,268279.52113364945,1068.2756860142863,14426.678719876136,51
铜仁市,20200221,268012.5659668255,1317.9768047562204,15827.765841702312,52
铜仁市,20200222,264195.7381311125,1288.6681625466472,12367.666165102071,53
铜仁市,20200223,247585.3281694255,1629.396329810845,11115.229141342645,54
铜仁市,20200224,266495.2310307932,1503.9833120572252,19784.193058300363,55
铜仁市,20200225,274140.3260197629,1544.2066872058408,17847.71849732232,56
铜仁市,20200226,283549.2013350037,1770.8926169927468,18192.8364767429,57
铜仁市,20200227,285837.4343126366,1750.522502593977,18203.952700968217,58
铜仁市,20200228,294965.57490397885,2027.951299442893,20101.02994977065,59
铜仁市,20200229,288389.6265678871,2027.677671040521,14181.735709400078,60
扬州市,20200201,1180622.3354498383,2312.35287534636,48922.45202496327,32
扬州市,20200202,1190270.2292641064,2293.0020629257688,52062.379146273146,33
扬州市,20200203,1177737.1309622668,1656.9721410901857,57553.08145197168,34
扬州市,20200204,1185234.38421346,1357.020706788181,52504.19711420059,35
扬州市,20200205,1220018.436809222,1413.772016462303,68553.89008953542,36
扬州市,20200206,1256935.4172314918,1325.9320625130406,72416.52657254544,37
扬州市,20200207,1233070.5378585677,1483.0086142647317,62674.397658497975,38
扬州市,20200208,1170486.6253678424,1609.051888872671,61894.19923995515,39
扬州市,20200209,1105773.1715460834,2114.969051943195,54882.56832347321,40
扬州市,20200210,1136894.2762343455,1319.0942217864513,64348.36488179292,41
扬州市,20200211,1116159.047753825,968.8971157485784,61922.18583133763,42
